UPA,c1,c2,c3,c4_1_a,c4_1_b,c4_1_c,c4_1_d,c4_2_a,c4_2_b,c4_2_c,c4_2_d,c4_3_a,c4_3_b,c4_3_c,c4_3_d,c4_4_a,c4_4_b,c4_4_c,c4_4_d,c4_5_a,c4_5_b,c4_5_c,c4_5_d,c4_6_a,c4_6_b,c4_6_c,c4_6_d,c4_7_a,c4_7_b,c4_7_c,c4_7_d,c4_8_a,c4_8_b,c4_8_c,c4_8_d,c5,c6_a,c6_b,c6_c,c7_a,c7_b,c7_c,c8_a,c8_b,c8_c,c9_a,c9_b,c9_c,c10_a,c10_b,c10_c,c11_a,c11_b,c11_c,c12,c13,c14_a,c14_b,c14_c,c15_a,c15_b,c15_c,c16_a,c16_b,c16_c,c17_a,c17_b,c17_c,c18_a,c18_b,c18_c,c19_a,c19_b,c19_c,c20_a,c20_b,c20_c,c21_a,c21_b,c21_c,c22_a,c22_b,c22_c,c23_a,c23_b,c23_c,c23_d,c23_e,c23_f,c24,c25,c26_a,c26_b,c26_c,c26_d,filter_$,CantidaPorcinosAgrupado,Machos.Adultos,Madres,Chanchillas,Lechones,Hembras,Mestizos_total,Criollo_total,Yorkshire_total,Landrace_total,Pic_total,Topigs_total,Duroc_total,Otros_total
1,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Si,Completa(Engorde y Multiplicador),80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,39,20,0,0,0,0,30,0,0,0,4,0,4,0,0,0,50,0,50,0,0,0,6,0,6,13100.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,0,0,80,10,10,0,Monta Libre,Si,No,No,No,No,Selected,[51-220],1,20,39,20,59,80,0,0,0,0,0,0,0
7,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,No aplica,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,,,,,,,No aplica,,,,,,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Si,Multiplicador,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,650.00,Otro productor de Galàpagos,No,No aplica,No aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,No,No aplica,Na aplica,25,50,25,0,0,0,No aplica,No,No,No,No,No,Selected,[1-10],0,0,2,0,2,0,0,2,0,0,0,0,0
