UPA,a1,a2_a,a2_b,a2_c,a2_d,a3,a4_a,a5_a,a6_a,a7_a,a8_a,a9_a,a4_b,a5_b,a6_b,a7_b,a8_b,a9_b,a4_c,a5_c,a6_c,a7_c,a8_c,a9_c,a4_d,a5_d,a6_d,a7_d,a8_d,a9_d,a10,a11_a,a11_b,a11_c,a11_d,a11_e,a11_f,a12,a13_a,a14_a,a15_a,a16_a,a17_a,a18_a,a13_b,a14_b,a15_b,a16_b,a17_b,a18_b,a13_c,a14_c,a15_c,a16_c,a17_c,a18_c,a13_d,a14_d,a15_d,a16_d,a17_d,a18_d,a13_e,a14_e,a15_e,a16_e,a17_e,a18_e,a13_f,a14_f,a15_f,a16_f,a17_f,a18_f,a19,a20,a21,a22_a,a22_b,a22_c,a22_d,a22_e,a23,a24_a,a24_b,a24_c,a24_d,a24_f,a25_a,a25_b,a25_c,a26_a,a26_b,a26_c,a27_a,a27_b,a27_c,a28_a,a28_b,a28_c,a29_a,a29_b,a29_c,a30_a,a30_b,a30_c,a31_a,a31_b,a31_c,TotalAvesCorralvendida,CantidaAvesAfenadasAgrupado
1,Si,29.00,3.00,0.00,0.00,Si,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,25.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,2.00,No,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,Si,Si,Medicina,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,[1-100]
2,Si,42.00,8.00,0.00,0.00,Si,0.00,0.00,4.00,100.00,4.00,0.00,0.00,0.00,2.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,4.00,Si,0.00,30.00,0.00,30.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,Si,Si,Medicina,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,[1-100]
3,Si,100.00,80.00,30.00,0.00,Si,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.00,8640.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,24.00,Si,0.00,200.00,0.00,200.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,Si,No,No aplica,0.00,[1-100]
4,Si,40.00,12.00,0.00,0.00,Si,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,4.00,Si,0.00,30.00,0.00,30.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,[1-100]
5,No,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,0.00,No,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,8
6,Si,30.00,50.00,1.00,0.00,Si,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,5.00,Si,0.00,40.00,0.00,40.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,[1-100]
7,Si,0.00,10.00,0.00,0.00,Si,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,0.00,No,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,8
8,Si,15.00,15.00,0.00,0.00,Si,0.00,0.00,3.00,60.00,2.00,12.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,0.00,No,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,8
9,Si,0.00,10.00,0.00,0.00,Si,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,1.00,Si,0.00,15.00,0.00,15.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,[1-100]
10,Si,6.00,5.00,0.00,0.00,Si,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No aplica,2.00,Si,0.00,22.00,8.00,30.00,0.00,No,0.00,0.00,0.00,0.00,0.00,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,0.00,[1-100]
