UPA,ga1,ga1_a,ga1_b,ga2,ga2_a,ga2_b,ga3,ga3_a,ga3_b,ga4,ga4_a,ga4_b,ga5,ga5_a,ga5_b,ga6,ga6_a,ga6_b,ga7,ga7_a,ga7_b,ga8,ga8_a,ga8_b,ga9,ga9_a,ga9_b,ga10,ga10_a,ga10_b,ga11,ga11_a,ga11_b,ga12,ga12_a,ga12_b,ga13,ga13_a,ga13_b,ga14,ga14_a,ga14_b,ga15,ga15_cual,ga15_a,ga15_b,gp16,gp16_a,gp16_b,gp17,gp17_a,gp17_b,gp18,gp18_a,gp18_b,gp19,gp19_a,gp19_b,gp20,gp20_a,gp20_b,gp21,gp21_a,gp21_b,gp22,gp22_a,gp22_b,gp23,gp23_a,gp23_b,gp24,gp24_cual,gp24_a,gp24_b,i25,i25_a,i25_b,i26,i26_a,i26_b,i27,i27_a,i27_b,i28,i28_a,i28_b,f29,f30,f31,f32,f33_1_a,f33_1_b,f33_1_c,f33_2_a,f33_2_b,f33_2_c,f33_3_a,f33_3_b,f33_3_c,f33_4_a,f33_4_b,f33_4_c,f33_5_a,f33_5_b,f33_5_c,f33_6_a,f33_6_b,f33_6_c,f33_7_a,f33_7_a_1,f33_7_b,f33_7_c,f34_1,f34_2,f34_3,f34_4,f34_5,f34_6,f34_6_1,GastosAgricolas,GastosPecuarios
1,No,0,,No,0,,Si,10,Contado,Si,12,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,22,0
2,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,Si,72,Contado,Si,30,Contado,No,0,,No,0,,No,0,,Si,1200,Contado,Si,AGUA POTABLE,200,Contado,Si,1488,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,1502,1488
3,Si,30,Contado,No,0,,No,0,,Si,8,Contado,No,0,,No,0,,Si,500,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,Si,4512,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,Si,500,Contado,No, ,0,,No,0,,No,0,,No,0,,No,0,,Si,Si,2,1,Si,No,,No,,,No,,,No,,,No,,,No,,,Si,CCQ,Si,10000,,,,,,, ,538,5012
4,No,0,,No,0,,No,0,,Si,8,Contado,No,0,,No,0,,Si,576,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,Si,1104,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,584,1104
5,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,Si,600,Contado,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,600,0
6,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,Si,2160,Contado,No,0,,Si,165,Contado,No,0,,No,0,,No,0,,No,0,,Si,1320,Contado,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,0,3645
7,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,Si,600,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,0,600
8,Si,12,Contado,No,0,,Si,21,Contado,Si,128,Contado,No,0,,No,0,,Si,6,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,167,0
9,Si,105,Contado,Si,50,Contado,No,0,,Si,152,Contado,Si,80,Contado,No,0,,Si,1400,Contado,Si,100,Contado,Si,30,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,Si,375,Contado,No,0,,Si,100,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,1917,475
10,Si,4,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,Si,300,Contado,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No,0,,No, ,0,,No,0,,No,0,,No,0,,No,0,,No,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,, ,4,300
