UPA,d1,t2_a1,t2_a2,t2_b1,t2_b2,t2_c1,t2_c2,t2_d1,t2_d2,t2_e1,t2_e2,t2_f1,t2_f2,t2_g1,t2_g2,t2_h1,t2_h2,d3,d4,do1,do2,do3,do4,do5,do6,do7,do8,di1,di2,di3,di4,di5,di6,di7,di8,bio_a,bio_b,bio_c,bio_d,bio_e,bio_f,bio_g,bio_h,bio_i,bio_j,bio_k,bio_l,bio_m,bio_n,info2,info3
1,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
2,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
3,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
4,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ESPOSA
5,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,CUIDADOR
6,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,, 
7,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
8,No,,,,,,,,,,,,,,,,,Si,8,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
9,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
10,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
11,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
12,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
13,No,,,,,,,,,,,,,,,,,Si,Representacion,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
14,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
15,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
16,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
17,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
18,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
19,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
20,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
21,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,TRABAJADOR REMUNERADO
22,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,NUERA
23,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
24,No,,,,,,,,,,,,,,,,,Si,Compra de insumos,No,Si,No,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
25,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
26,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
27,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
28,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,Si,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
29,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
30,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Otro,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
31,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
32,Si,No,,No,,No,,Si,Nada,No,,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,, 
33,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
34,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,Si,Comercializar la produccion,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,Si,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,, 
35,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,Si,Mucho,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
