canton,parroquia_nom,UPA,c3,c4,c6,c7,c8_1_MSP,c8_2_ABG,c8_3_otra,c8_3_1,c8_4_ninguna,c10,c_12,c13,c14,c15,c16_prov_nac,c16_canton_nac,c16_parroquia_nac,c17_provincia_vivio,c17_canton_vivio,c17_parroquia_vivio,c18,c19,c20,c21,c22,c23,c24,c25,rango_edad,escolaridad,lugar_nacimiento,extension_total_UPA,tamano_upa,Rango_Anos_en_Galapagos
San Cristobal,El Progreso,1,Si,Individual,No,Si,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Mujer,27,9,Manabi,Pajan,Pajan,Manabi,Pajan,Pajan,Secundaria,6,No,,No aplica,,Mestiza(o),Espanol,De 26 a 30 anos,12,Fuera de Galapagos,0.084,Menos de 1 hectarea,De 6 a 10 anos
San Cristobal,El Progreso,2,Si,Individual,No,Si,,,Si,MINISTERIO DE TURISMO,,Si,Dueno o tenedor de la tierra,Hombre,51,51,Galapagos,San Cristobal,Puerto Baquerizo Moreno,, ,,Secundaria,6,No,,No aplica,,Mestiza(o),Espanol,De 51 a 55 anos,12,Galapagos,1,De 1 hasta menos de 2 has.,De 51 a 55 anos
San Cristobal,El Progreso,3,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,67,67,Galapagos,San Cristobal,El Progreso,, ,,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 66 a 70 anos,6,Galapagos,2.5,De 2 hasta menos de 3 has.,De 66 a 70 anos
San Cristobal,El Progreso,4,No,Individual,No,No,,,, ,Ninguna Autorizacion,No,Dueno o tenedor de la tierra,Hombre,59,59,Galapagos,San Cristobal,Puerto Baquerizo Moreno,, ,,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 56 a 60 anos,6,Galapagos,14,De 10 hasta menos de 20 has.,De 56 a 60 anos
San Cristobal,El Progreso,5,No,Individual,No,Si,,,, ,Ninguna Autorizacion,No,Dueno o tenedor de la tierra,Hombre,47,47,Galapagos,San Cristobal,Puerto Baquerizo Moreno,, ,,Superior,3,No,,No,,Mestiza(o),Espanol,De 46 a 50 anos,16,Galapagos,3,De 3 hasta menos de 5 has.,De 46 a 50 anos
San Cristobal,El Progreso,6,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,68,68,Galapagos,San Cristobal,El Progreso,, ,,Secundaria,3,No,,No aplica,,Mestiza(o),Espanol,De 66 a 70 anos,9,Galapagos,4,De 3 hasta menos de 5 has.,De 66 a 70 anos
San Cristobal,El Progreso,7,No,"Sociedad legal (Corporacion, Sociedad anonima, etc.)",No,No,,,, ,Ninguna Autorizacion,Si,Empleado remunerado,Hombre,60,30,Manabi,Chone,Convento,Santo Domingo de los Tsachilas,Santo Domingo,Puerto Limon,Ninguno,,No aplica,,No aplica,,Afrodescendiente,Espanol,De 56 a 60 anos,0,Fuera de Galapagos,11.5,De 10 hasta menos de 20 has.,De 26 a 30 anos
San Cristobal,El Progreso,8,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,87,70,Tungurahua,Ambato,Picaigua,Tungurahua,Ambato,Picaigua,Primaria,3,No aplica,,No aplica,,Indigena,Espanol,De 86 a 90 anos,3,Fuera de Galapagos,8,De 5 hasta menos de 10 has.,De 66 a 70 anos
San Cristobal,El Progreso,9,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Familiar,Hombre,59,42,Cotopaxi,Salcedo,Mulalillo,Cotopaxi,Salcedo,Mulalillo,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 56 a 60 anos,6,Fuera de Galapagos,4.512,De 3 hasta menos de 5 has.,De 41 a 45 anos
San Cristobal,El Progreso,10,No,"Sociedad legal (Corporacion, Sociedad anonima, etc.)",No,Si,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,47,20,Manabi,Jipijapa,Pedro Pablo Gomez,Manabi,Pajan,Campozano,Secundaria,3,No,,No aplica,,Mestiza(o),Espanol,De 46 a 50 anos,9,Fuera de Galapagos,3.075,De 3 hasta menos de 5 has.,De 16 a 20 anos
San Cristobal,El Progreso,11,No,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,56,56,Galapagos,San Cristobal,El Progreso,, ,,Secundaria,4,No,,No aplica,,Mestiza(o),Espanol,De 56 a 60 anos,10,Galapagos,0.36,Menos de 1 hectarea,De 56 a 60 anos
San Cristobal,El Progreso,12,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,82,57,Tungurahua,Ambato,Ambato,Tungurahua,Ambato,Ambato,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 81 a 85 anos,6,Fuera de Galapagos,31.8,De 20 hasta menos de 50 has.,De 56 a 60 anos
San Cristobal,El Progreso,13,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,68,68,Galapagos,San Cristobal,El Progreso,, ,,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 66 a 70 anos,6,Galapagos,54.5,De 50 hasta menos de 100 has.,De 66 a 70 anos
San Cristobal,El Progreso,14,No,Individual,No,Si,,,, ,Ninguna Autorizacion,No,Dueno o tenedor de la tierra,Mujer,57,25,Loja,Celica,Celica,Guayas,Guayaquil,Guayaquil,Bachillerato,3,No,,No aplica,,Mestiza(o),Espanol,De 56 a 60 anos,13,Fuera de Galapagos,1.3,De 1 hasta menos de 2 has.,De 21 a 25 anos
San Cristobal,El Progreso,15,No,Individual,No,No,,,, ,Ninguna Autorizacion,No,Dueno o tenedor de la tierra,Hombre,65,65,Galapagos,San Cristobal,El Progreso,, ,,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 61 a 65 anos,6,Galapagos,7,De 5 hasta menos de 10 has.,De 61 a 65 anos
San Cristobal,El Progreso,16,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,81,42,Loja,Loja,Loja,Pichincha,Quito,Quito,Secundaria,3,No,,No aplica,,Mestiza(o),Espanol,De 81 a 85 anos,9,Fuera de Galapagos,5.7068,De 5 hasta menos de 10 has.,De 41 a 45 anos
San Cristobal,El Progreso,17,Si,Individual,No,No,,,, ,Ninguna Autorizacion,No,Empleado remunerado,Hombre,38,10,Tungurahua,San pedro de Pelileo,Salasaca,Tungurahua,San pedro de Pelileo,Salasaca,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 36 a 40 anos,6,Fuera de Galapagos,5,De 5 hasta menos de 10 has.,De 6 a 10 anos
San Cristobal,El Progreso,18,Si,Individual,No,No,,,, ,Ninguna Autorizacion,Si,Dueno o tenedor de la tierra,Hombre,80,33,El Oro,Zaruma,Huertas,Santo Domingo de los Tsachilas,Santo Domingo,Santa Domingo de los Tsachilas,Ninguno,,No aplica,,No aplica,,Blanca(o),Espanol,De 76 a 80 anos,0,Fuera de Galapagos,0.0818,Menos de 1 hectarea,De 31 a 35 anos
San Cristobal,El Progreso,19,No,Individual,No,No,,,, ,Ninguna Autorizacion,No,Dueno o tenedor de la tierra,Hombre,60,60,Galapagos,San Cristobal,El Progreso,, ,,Primaria,6,No aplica,,No aplica,,Mestiza(o),Espanol,De 56 a 60 anos,6,Galapagos,1.3,De 1 hasta menos de 2 has.,De 56 a 60 anos
