UPA,s4,s4_1,s5,s5_1,s6,s6_1,s7,s7_1,s8,s8_1,s9,s10
1,0.084,Hectarea,0,,0, ,0,,0,,"15,000",Ocupado sin titulo
2,1,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
3,2.5,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
4,14,Hectarea,0,,0, ,0,,0,,"98,000",Propio con titulo
5,3,Hectarea,0,,0, ,0,,0,,"75,000",Propio con titulo
6,4,Hectarea,0,,0.25,Hectareas,0,,0,,"48,000",Propio con titulo
7,11.5,Hectarea,0,,0, ,0,,0,,,Empleado remunerado
8,8,Hectarea,0,,0, ,0,,0,,"80,000",Propio con titulo
9,0.012,Hectarea,0,,0, ,0,,0,,,Familiar
9,1.5,Hectarea,0,,0, ,0,,0,,"7,500",Familiar
9,3,Hectarea,0,,0, ,0,,0,,"5,000",Comunero
10,3,Hectarea,0,,0, ,0,,0,,"15,000",Comunero
10,0.075,Hectarea,0,,0, ,0,,0,,"25,000",Propio con titulo
11,0.36,Hectarea,0,,0, ,0,,0,,"30,000",Propio con titulo
12,7.8,Hectarea,0,,0, ,0,,0,,"30,000",Propio con titulo
12,2,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
12,22,Hectarea,0,,0, ,0,,0,,"110,000",Propio con titulo
13,3,Hectarea,0,,0, ,0,,0,,"20,000",Propio con titulo
13,3,Hectarea,0,,0, ,0,,0,,"20,000",Propio con titulo
13,47,Hectarea,0,,0, ,0,,0,,"235,000",Propio con titulo
13,1.5,Hectarea,0,,0, ,0,,0,,"15,000",Propio con titulo
14,1.3,Hectarea,0,,0, ,0,,0,,"22,000",Propio con titulo
15,1,Hectarea,0,,0, ,0,,0,,"12,000",Propio con titulo
15,6,Hectarea,0,,0, ,0,,0,,"20,000",Propio con titulo
16,5.7068,Hectarea,0,,0, ,0,,0,,"40,000",Propio con titulo
17,5,Hectarea,0,,0, ,0,,0,,"20,000",Familiar
18,0.0818,Hectarea,0.0036,Hectarea,0.0009,Hectareas,0,,0,,"25,000",Propio con titulo
19,1.3,Hectarea,0,,0, ,0,,0,,"20,000",Propio con titulo
20,1,Hectarea,0,,0.0012,Hectareas,0,,0,,"50,000",Propio con titulo
21,0.8,Hectarea,0.32,Hectarea,0, ,0,,0,,"150,000",Propio con titulo
22,2.5,Hectarea,0,,0, ,0,,0,,"85,000",Propio con titulo
23,0.09,Hectarea,0,,0, ,0,,0,,"10,000",Ocupado sin titulo
23,0.5,Hectarea,0,,0, ,0,,0,,"20,000",Propio con titulo
24,42,Hectarea,0,,0, ,0,,0,,"210,000",Propio con titulo
24,16,Hectarea,0,,0.06,Hectareas,0,,0,,"192,000",Propio con titulo
25,1.3,Hectarea,0,,0, ,0,,0,,"3,000",Propio con titulo
26,1,Hectarea,0,,0, ,0,,0,,"15,000",Propio con titulo
26,0.7,Hectarea,0,,0, ,0,,0,,"15,000",Propio con titulo
27,3.5,Hectarea,0,,0, ,0,,0,,"150,000",Propio con titulo
28,1,Hectarea,0,,0, ,0,,0,,"10,000",Propio con titulo
28,1,Hectarea,0,,0, ,0,,0,,"10,000",Propio con titulo
28,5.983,Hectarea,0,,0, ,0,,0,,"60,000",Propio con titulo
28,7.981,Hectarea,0,,0, ,0,,0,,"80,000",Propio con titulo
28,4,Hectarea,0,,0, ,0,,0,,"100,000",Propio con titulo
28,9.9,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
28,0.42,Hectarea,0,,0, ,0,,0,,"5,000",Propio con titulo
28,5,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
29,7,Hectarea,0,,0, ,0,,0,,"42,000",Propio con titulo
30,6,Hectarea,0.014,Hectarea,0, ,0,,0,,"90,000",Propio con titulo
31,2.27,Hectarea,0,,0, ,0,,0,,"45,000",Propio con titulo
32,1.5,Hectarea,0,,0.014,Hectareas,0,,0,,"10,000",Propio con titulo
33,1.5,Hectarea,0,,0, ,0,,0,,"6,000",Propio con titulo
33,9,Hectarea,0,,0, ,0,,0,,"45,000",Propio con titulo
34,2,Hectarea,0.5,Hectarea,0, ,0,,0,,"20,000",Propio con titulo
35,6,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
36,1,Hectarea,0,,0, ,0,,0,,"40,000",Propio con titulo
36,0.25,Hectarea,0,,0, ,0,,0,,"9,000",Propio con titulo
37,35,Hectarea,0,,0, ,0,,0,,,Propio con titulo
37,2,Hectarea,0,,0, ,0,,0,,,Propio con titulo
38,0.1,Hectarea,0,,0, ,0,,0,,"5,000",Propio con titulo
38,2,Hectarea,0,,0, ,0,,0,,"50,000",Propio con titulo
39,0.9,Hectarea,0,,0, ,0,,0,,"9,000",Propio con titulo
39,15,Hectarea,0,,0, ,0,,0,,"105,000",Propio con titulo
40,63,Hectarea,0,,0, ,0,,0,,"315,000",Propio con titulo
40,4,Hectarea,0,,0, ,0,,0,,"60,000",Propio con titulo
