UPA,us1,us2,us3,us4,us5,us6,us7,us8,us9,us10,us11,us12,us13,us14,us15,us16,us17,us18
1,0.084,0,0,0,0,0,0,0,0.084,0.084,0,0,0,0,0,0,0,0.084
2,0.5,0.5,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,1
3,2.21,0.25,0,0,0,0,0,0.04,2.5,2.21,0.25,0,0,0,0,0,0.04,2.5
4,1,1,0,0,11,0,0,1,14,1,1,0,0,11,0,0,1,14
5,1,0,0,0,0,0,1.75,0.25,3,1,0,0,0,0,0,1.75,0.25,3
6,0.7056,0.7056,0,0,0.7056,0,0,1.8832,4,0.7056,0.7056,0,0,0.7056,0,0,1.8832,4
7,0,0,0,0,0,0,11,0.5,11.5,0,0,0,0,0,0,11,0.5,11.5
8,1,0.035,0,0,0,6.5,0,0.465,8,1,0.035,0,0,0,6.5,0,0.465,8
9,1,0.5,0,0,0,0,0,0,1.5,1,0.5,0,0,0,0,0,0,1.5
9,0,0.012,0,0,0,0,0,0,0.012,0,0.012,0,0,0,0,0,0,0.012
9,1,0.5,0,0.5,0,0,0.99,0.01,3,1,0.5,0,0.5,0,0,0.99,0.01,3
10,0,0,0,0,0,0,0,0.075,0.075,0,0,0,0,0,0,0,0.075,0.075
10,0.01,0,0,0,2.985,0,0,0.005,3,0.01,0,0,0,2.985,0,0,0.005,3
11,0.0456,0.3,0,0,0,0,0,0.0144,0.36,0.0456,0.312,0,0,0,0,0,0.0024,0.36
12,0,0,0,7.8,0,0,0,0,7.8,0,0,0,0,0,7.8,0,0,7.8
12,1,0,0,0,0,0,0.99,0.01,2,1,0,0,0,0,0,0.99,0.01,2
12,0,0,0,0,0,0,17.6,4.4,22,0,0,0,0,0,0,17.6,4.4,22
13,0,0,0,0,47,0,0,0,47,0,0,0,0,47,0,0,0,47
13,1.5,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,1.5
13,1,1,0,0,0.4,0,0.59,0.01,3,1,1,0,0,0.4,0,0.59,0.01,3
13,1,0,0,0,0,2,0,0,3,1,0,0,0,0,2,0,0,3
14,0.65,0.32,0,0,0,0,0,0.33,1.3,0.65,0.32,0,0,0,0,0,0.33,1.3
15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
15,2,0,0,1,2,0,0,1,6,2,0,0,1,2,0,0,1,6
16,0,0,0,0.5,0,0,5.1966,0.01024,5.70684,0,0,0,0.5,0,0,5.1966,0.01024,5.70684
17,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,5
18,0,0.0005,0,0,0,0,0.06431,0.017,0.08181,0,0,0,0,0,0,0.07271,0.0091,0.08181
19,1.3,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,0,1.3
20,0.75,0,0,0,0,0,0,0.25,1,0.75,0,0,0,0,0,0,0.25,1
21,0.02,0.045,0,0,0,0,0,0.735,0.8,0,0,0,0,0,0.06,0,0.74,0.8
22,0.25,0.0008,0,0,0,2.1442,0,0.105,2.5,0.25,0.0008,0,0,0,2.1442,0,0.105,2.5
23,0,0,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0.09,0.09
23,0.02,0.43,0,0,0,0,0,0.05,0.5,0.02,0.43,0,0,0,0,0,0.05,0.5
24,0,0.78,0,0,12,0,3,0.22,16,0,0.78,0,0,12,0,3,0.22,16
24,0,0,0,0,42,0,0,0,42,0,0,0,0,42,0,0,0,42
25,1.3,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,0,1.3
26,0.5,0,0,0,0,0.5,0,0,1,0.5,0,0,0,0,0.5,0,0,1
26,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0.7,0,0,0.7
27,0.05,0,0,0,3.45,0,0,0,3.5,0.05,0,0,0,3.45,0,0,0,3.5
28,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
28,0.0083,0,0,0,0,0,5.9747,0,5.983,0.0083,0,0,0,0,0,5.9747,0,5.983
28,0,0,0,0,0.9,0,0.1,0,1,0,0,0,0,0.9,0,0.1,0,1
28,0.00625,0,0,0,7.97475,0,0,0,7.981,0.00625,0,0,0,7.97475,0,0,0,7.981
28,0.42,0,0,0,0,0,0,0,0.42,0.42,0,0,0,0,0,0,0,0.42
28,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,5
28,0,0,0,0,9.9,0,0,0,9.9,0,0,0,0,9.9,0,0,0,9.9
28,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4
29,0.5,0.0009,0,0,6.4991,0,0,0,7,0.5,0.0009,0,0,6.4991,0,0,0,7
30,2,1,0,1.98,0,0,1,0.02,6,2,1,0,1.98,0,0,1,0.02,6
31,1.088,1.14,0,0,0,0,0,0.042,2.27,1.088,1.14,0,0,0,0,0,0.042,2.27
32,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,1.5,1.5
33,1.5,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,1.5
33,1,0,0,0,1,0,7,0,9,1,1,0,0,0,0,7,0,9
34,1,0.5,0,0,0,0,0,0.5,2,1,0.5,0,0,0,0,0.5,0,2
35,3,0.5,2,0,0,0,0,0.5,6,0,0,0,0,0,0,0,6,6
36,0,0,0,0,0,0,0.9958,0.0042,1,0,0,0,0,0,0,0.9958,0.0042,1
36,0,0,0,0,0,0.05,0,0.2,0.25,0,0,0,0,0,0.05,0,0.2,0.25
37,0,0,0,0,0,0,1.75,0.25,2,0,0,0,0,0,0,1.75,0.25,2
37,0,0,0,0,0,0,35,0,35,0,0,0,0,0,35,0,0,35
38,0.5,0.5,0,0,1,0,0,0,2,0.5,0.5,0,0,1,0,0,0,2
38,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1
39,6,0,0,0,3,0,6,0,15,6,0,0,0,3,0,6,0,15
39,0.9,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0,0,0.9
