UPA,t1,t2,cultivo_estandar,t3,t4,t5,t6,t7,t8,t8_a,t9,t10,t10_a,t11,t12,t12_a,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t22_a,t23,t24,consideracion_produccion_mala,t25,t25_a,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,libras_cosechada,libras_vendida,sum_otros_destinos,condic_cultivo,categori_condicion_por_cultivo,superficie_total,num_cultivo,tipo_cultivo,cultivo_standar_copia
2,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Comun,Si,0.5,Hectareas,1-May-14,0.5,Hectareas,1-Aug-14,, ,No,,,, ,Si,Manual,No, ,2,Caneca/gaveta,FRUTA FRESCA,regular,0,0, ,40, ,,2,,,,, , ,80,0,2,Asociado,Asociado con transitorio,0.5,1,Campo abierto,Tomate rinon
2,1,HIERVITA,Hiervita,Cilantro,Asociado,,Comun,Si,0.5,Hectareas,1-May-14,0.5,Hectareas,1-Jun-14,, ,No,,,, ,Si,Manual,No, ,4,Libra,HOJA FRESCA,regular,0,0, ,1, ,,4,,,,, , ,4,0,4,Asociado,Asociado con transitorio,0,1,Campo abierto,Hiervita
2,1,PIMIENTO,Pimiento,Pimiento,Asociado,,Comun,Si,0.5,Hectareas,1-May-14,0.5,Hectareas,1-Jul-14,, ,No,,,, ,Si,Manual,No, ,0.5,Caneca/gaveta,FRUTA FRESCA,regular,0,0, ,15, ,,0.5,,,,, , ,7.5,0,0.5,Asociado,Asociado con transitorio,0,1,Campo abierto,Pimiento
3,1,MAIZ DURO SECO,Maiz,Maiz duro seco,Solo,,Certificada,Si,0.243,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.243,2,Campo abierto,Maiz
3,1,YUCA,Yuca,Yuca,Solo,,Comun,Si,0.007,Hectareas,1-Aug-13,0.007,Hectareas,1-Sep-14,, ,Si,Si,Compost,No, ,No,,No, ,240,Libra,RAIZ FRESCA,buena,0,0, ,1, ,,,,,,240, , ,240,0,240,Solo,Solo,0.007,3,Campo abierto,Yuca
3,1,OTOY,Otoy,Otros transitorios,Asociado,,Comun,Si,2.21,Hectareas,1-May-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con permanente,0,4,Campo abierto,Otoy
4,1,YUCA,Yuca,Yuca,Asociado,,Comun,No,1,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,1,5,Campo abierto,Yuca
4,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Asociado,,Comun,No,1,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,5,Campo abierto,Maiz
6,1,YUCA,Yuca,Yuca,Solo,,Comun,Si,0.7056,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.7056,6,Campo abierto,Yuca
8,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Solo,,Comun,Si,0.03,Hectareas,1-May-14,0.03,Hectareas,1-Sep-14,, ,Si,No,,Si,Nitrogenados,Si,Manual,Si,Rojo,100,Unidad,CHOCLO,regular,0,0, ,0.5, ,,100,,,,, , ,50,0,100,Solo,Solo,0.03,7,Campo abierto,Maiz
8,1,PEPINO,Pepino,Pepinillo,Asociado,,Certificada,Si,0.005,Hectareas,1-May-14,0.003,Hectareas,1-Sep-14,plagas, ,Si,No,,Si,Nitrogenados,Si,Manual,Si,Rojo,15,Unidad,FRUTA FRESCA,mala,plagas,10,unidad,2,FRUTA FRESCA,3.5,5,,,,,comerciante,San Cristobal,30,20,5,Asociado,Asociado con transitorio,0.005,8,Campo abierto,Pepino
8,1,ALFALFA,Alfalfa,Otros transitorios,Asociado,,Certificada,Si,0.005,Hectareas,1-May-14,0.003,Hectareas,1-Sep-14,plagas, ,Si,No,,Si,Nitrogenados,Si,Manual,Si,Rojo,3,Otro especifique,HOJA FRESCA,mala,plagas,3,otros especifique,0.25,HOJA FRESCA,3,,,,,,comerciante,San Cristobal,0.75,0.75,0,Asociado,Asociado con transitorio,0,8,Campo abierto,Alfalfa
8,1,ESPINACA,Espinaca,Espinaca,Asociado,,Certificada,Si,0.005,Hectareas,1-May-14,0.003,Hectareas,1-Sep-14,plagas, ,Si,No,,Si,Nitrogenados,Si,Manual,Si,Rojo,4,Otro especifique,HOJA FRESCA,mala,plagas,3,otros especifique,0.25,HOJA FRESCA,1,1,,,,,comerciante,San Cristobal,1,0.75,1,Asociado,Asociado con transitorio,0,8,Campo abierto,Espinaca
8,1,HIERVITA,Hiervita,Cilantro,Asociado,,Certificada,Si,0.005,Hectareas,1-May-14,0.003,Hectareas,1-Sep-14,plagas, ,Si,No,,Si,Nitrogenados,Si,Manual,Si,Rojo,4,Otro especifique,HOJA FRESCA,mala,plagas,3,otros especifique,0.25,HOJA FRESCA,3,1,,,,,comerciante,San Cristobal,1,0.75,1,Asociado,Asociado con transitorio,0,8,Campo abierto,Hiervita
9,1,YUCA,Yuca,Yuca,Solo,,Certificada,Si,0.4,Hectareas,1-Feb-14,0.4,Hectareas,1-Sep-14,, ,Si,Si,Compost,No, ,No,,No, ,48,Saco,RAIZ FRESCA,buena,0,40,Saco,110,RAIZ FRESCA,1400,4,4,,,,comerciante,San Cristobal,5280,4400,8,Solo,Solo,0.4,9,Campo abierto,Yuca
9,1,YUCA,Yuca,Yuca,Solo,,Comun,Si,0.25,Hectareas,1-Mar-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.25,10,Campo abierto,Yuca
9,3,MAIZ DURO SECO,Maiz,Maiz duro seco,Solo,,Comun,No,0.232,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.232,11,Campo abierto,Maiz
9,1,ZANAHORIA AMARILLA,Zanahoria amarilla,Zanahoria amarilla,Solo,,Certificada,Si,0.1,Hectareas,1-Jul-14,0.1,Hectareas,1-Sep-14,, ,Si,Si,Compost,No, ,No,,No, ,20,Caneca/gaveta,RAIZ FRESCA,buena,0,19,caneca/gaveta,80,RAIZ FRESCA,300,1,,,,,comerciante,San Cristobal,1600,1520,1,Solo,Solo,0.1,12,Campo abierto,Zanahoria amarilla
9,1,COL,Col,Col,Solo,,Certificada,No,0.018,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Compost,No, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.018,13,Campo abierto,Col
9,3,TOMATE RINON,Tomate rinon,Tomate rinon,Solo,,Hibrida Nacional,No,0.012,Hectareas,1-Jun-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Compost,No, ,Si,Goteo,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.012,14,Campo abierto,Tomate rinon
11,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Solo,,Hibrida Nacional,No,0.3,Hectareas,1-Jun-14,0.02,Hectareas,1-Sep-14,plagas, ,No,,,, ,No,,No, ,2,Saco,CHOCLO,mala,plagas,0, ,50, ,,2,,,,, , ,100,0,2,Solo,Solo,0.3,15,Campo abierto,Maiz
13,3,OTOY,Otoy,Otros transitorios,Solo,,Comun,Si,1,Hectareas,1-Oct-13,1,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,20,Quintal,TUBERCULO FRESCO,buena,0,0, ,100, ,,,20,,,, , ,2000,0,20,Solo,Solo,1,16,Campo abierto,Otoy
14,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0.32,17,Campo abierto,Tomate rinon
14,1,ALBAHACA,Albahaca,Cilantro,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Albahaca
14,1,CEBOLLA BLANCA,Cebolla Blanca,Cebolla blanca,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jun-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Cebolla Blanca
14,1,CEBOLLA COLORADA,Cebolla Colorada,Cebolla colorada,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jun-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Cebolla Colorada
14,1,HIERBA BUENA,Hierba Buena,Plantas medicinales,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Hierba Buena
14,1,HIERVITA,Hiervita,Cilantro,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Hiervita
14,1,PEPINO,Pepino,Pepinillo,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Pepino
14,1,PEREJIL,Perejil,Perejil,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Perejil
14,1,PIMIENTO,Pimiento,Pimiento,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Pimiento
14,1,PIMIENTO,Pimiento,Pimiento,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Pimiento
14,1,SUQUINI (ZUCHINI),Suquini (Zuchini),Suquini zuchini,Asociado,,Hibrida Nacional,No,0.32,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Guano,No, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,17,Campo abierto,Suquini (Zuchini)
18,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Comun,Si,0.0005,Hectareas,1-Jun-14,0.0005,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,Si,Azul,100,Libra,FRUTA FRESCA,buena,0,80,libra,1,FRUTA FRESCA,53.33,10,,,,10,consumidor final,San Cristobal,100,80,20,Asociado,Asociado con transitorio,0.0005,18,Campo abierto,Tomate rinon
18,1,PEPINO,Pepino,Pepinillo,Asociado,,Comun,Si,0.0005,Hectareas,1-Jun-14,0.0005,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,Si,Azul,100,Unidad,FRUTA FRESCA,buena,0,75,unidad,1,FRUTA FRESCA,75,20,,,,5,consumidor final,San Cristobal,100,75,25,Asociado,Asociado con transitorio,0,18,Campo abierto,Pepino
18,1,PIMIENTO,Pimiento,Pimiento,Asociado,,Comun,Si,0.0005,Hectareas,1-Jun-14,0.0005,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,Si,Azul,50,Unidad,FRUTA FRESCA,buena,0,40,unidad,0.1,FRUTA FRESCA,10,5,,,,5,consumidor final,San Cristobal,5,4,10,Asociado,Asociado con transitorio,0,18,Campo abierto,Pimiento
20,1,YUCA,Yuca,Yuca,Asociado,,Comun,Si,0.75,Hectareas,1-Jun-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con permanente,0,19,Campo abierto,Yuca
21,1,HIERVITA,Hiervita,Cilantro,Solo,,Certificada,Si,0.015,Hectareas,1-Jul-14,0.015,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,6,Caneca/gaveta,HOJA FRESCA,buena,0,6,caneca/gaveta,10,HOJA FRESCA,48,,,,,,consumidor final,San Cristobal,60,60,0,Solo,Solo,0.015,20,Campo abierto,Hiervita
21,1,NABO,Nabo,Nabo,Solo,,Certificada,Si,0.015,Hectareas,1-Jul-14,0.015,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,6,Caneca/gaveta,HOJA FRESCA,buena,0,6,caneca/gaveta,10,HOJA FRESCA,75,,,,,,consumidor final,San Cristobal,60,60,0,Solo,Solo,0.015,21,Campo abierto,Nabo
21,1,RABANO,Rabano,Rabano,Solo,,Certificada,Si,0.015,Hectareas,1-Jul-14,0.015,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,6,Caneca/gaveta,RAIZ FRESCA,buena,0,6,caneca/gaveta,15,RAIZ FRESCA,67.5,,,,,,consumidor final,San Cristobal,90,90,0,Solo,Solo,0.015,22,Campo abierto,Rabano
22,1,TOMATE RINON,Tomate rinon,Tomate rinon,Solo,,Comun,No,0.0008,Hectareas,1-May-14,0.0008,Hectareas,1-Sep-14,, ,Si,Si,Compost,No, ,No,,No, ,20,Unidad,FRUTA FRESCA,regular,0,0, ,0.25, ,,20,,,,, , ,5,0,20,Solo,Solo,0.0008,23,Campo abierto,Tomate rinon
22,1,YUCA,Yuca,Yuca,Asociado,,Comun,No,0.25,Hectareas,1-Oct-13,0.25,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,2,Saco,RAIZ FRESCA,regular,0,0, ,60, ,,2,,,,, , ,120,0,2,Asociado,Asociado con permanente,0,24,Campo abierto,Yuca
23,2,MAIZ DURO CHOCLO,Maiz,Maiz duro choclo,Solo,,Comun,Si,0.424,Hectareas,1-Jun-14,0.424,Hectareas,1-Aug-14,, ,Si,No,,Si,Nitrogenados,No,,Si,Azul,2,Caneca/gaveta,CHOCLO,buena,0,2,caneca/gaveta,25,CHOCLO,36,,,,,,consumidor final,San Cristobal,50,50,0,Solo,Solo,0.424,25,Campo abierto,Maiz
23,2,COL,Col,Col,Solo,,Hibrida Nacional,Si,0.006,Hectareas,1-Aug-14,0.006,Hectareas,1-Oct-14,, ,Si,No,,Si,Nitrogenados,Si,Manual,Si,Azul,200,Unidad,REPOLLO,buena,0,100,unidad,1,REPOLLO,80,10,,,,90,consumidor final,San Cristobal,200,100,100,Solo,Solo,0.006,26,Campo abierto,Col
24,1,MAIZ DURO SECO,Maiz,Maiz duro seco,Solo,,Comun,No,0.78,Hectareas,1-Sep-13,0.78,Hectareas,1-Nov-13,, ,No,,,, ,No,,No, ,15,Quintal,MAZORCA,buena,0,0, ,100,MAZORCA,,10,5,,,, , ,1500,0,15,Solo,Solo,0.78,27,Campo abierto,Maiz
26,1,YUCA,Yuca,Yuca,Asociado,,Comun,Si,0.5,Hectareas,1-Oct-13,0.5,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,20,Saco,RAIZ FRESCA,regular,0,15,Saco,100,RAIZ FRESCA,450,5,,,,,comerciante,San Cristobal,2000,1500,5,Asociado,Asociado con permanente,0,28,Campo abierto,Yuca
29,1,PEPINO,Pepino,Pepinillo,Solo,,Comun,Si,0.0003,Hectareas,1-Jun-14,0.0003,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,No,,No, ,30,Unidad,FRUTA FRESCA,mala,plagas,0, ,1, ,,10,,,,20, , ,30,0,30,Solo,Solo,0.0003,29,Campo abierto,Pepino
29,1,PIMIENTO,Pimiento,Pimiento,Solo,,Comun,Si,0.0003,Hectareas,1-Jun-14,0.0003,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,No,,No, ,10,Unidad,FRUTA FRESCA,regular,0,0, ,0.25, ,,3,,,,7, , ,2.5,0,10,Solo,Solo,0.0003,30,Campo abierto,Pimiento
29,1,TOMATE RINON,Tomate rinon,Tomate rinon,Solo,,Comun,Si,0.0003,Hectareas,1-Jun-14,0.0003,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,No,,No, ,15,Libra,FRUTA FRESCA,buena,0,0, ,1, ,,5,,,,10, , ,15,0,15,Solo,Solo,0.0003,31,Campo abierto,Tomate rinon
29,1,YUCA,Yuca,Yuca,Asociado,,Comun,Si,0.5,Hectareas,1-Mar-14,0.5,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,No,,No, ,2,Quintal,RAIZ FRESCA,buena,0,0, ,100, ,,0.5,,,,1.5, , ,200,0,2,Asociado,Asociado con permanente,0,32,Campo abierto,Yuca
30,1,MAIZ DURO CHOCLO,Maiz,Maiz duro choclo,Solo,,Certificada,No,1,Hectareas,1-Jul-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,1,33,Campo abierto,Maiz
31,1,YUCA,Yuca,Yuca,Solo,,Comun,No,1.14,Hectareas,1-Sep-13,1.14,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,450,Libra,RAIZ FRESCA,buena,0,0, ,1, ,,,450,,,, , ,450,0,450,Solo,Solo,1.14,34,Campo abierto,Yuca
34,1,PEPINO,Pepino,Pepinillo,Asociado,,Comun,No,0.5,Hectareas,1-Jul-14,0.5,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,20,Unidad,FRUTA FRESCA,buena,0,0, ,0.75, ,,20,,,,, , ,15,0,20,Asociado,Asociado con transitorio,0.5,35,Campo abierto,Pepino
34,1,HIERVITA,Hiervita,Cilantro,Asociado,,Comun,No,0.5,Hectareas,1-Jul-14,0.5,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,5,Libra,HOJA FRESCA,buena,0,0, ,1, ,,5,,,,, , ,5,0,5,Asociado,Asociado con transitorio,0,35,Campo abierto,Hiervita
