UPA,ad1,ad2,ad3,ad4,ad5,ad5_a,ad6,ad7,ad7_a,ad8,ad8_a,ad9,ad10,ad10_a,ad11,produccion_en_libras_producto_cosechado_autoconsumo,produccion_en_libras_producto_vendido
1,1,NARANJA,NARANJA,7,10,CANECA/GAVETA,80,FRUTA FRESCA,3,0,,, ,,0,800,0
1,1,MANDARINA,MANDARINA,1,1,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,50,0
2,1,NARANJA,NARANJA,4,6,CANECA/GAVETA,70,FRUTA FRESCA,3,0,,, ,,0,420,0
2,1,LIMON,LIMON,3,3,CANECA/GAVETA,60,FRUTA FRESCA,3,0,,, ,,0,180,0
2,1,GUABA,GUABA,3,300,UNIDAD,1,FRUTA FRESCA,3,0,,, ,,0,300,0
2,1,MANGO,MANGO,4,50,UNIDAD,0.25,FRUTA FRESCA,3,0,,, ,,0,12.5,0
3,1,NARANJA,NARANJA,15,4,SACO,50,FRUTA FRESCA,3,0,,, ,,0,200,0
3,1,MANDARINA,MANDARINA,15,3,CANECA/GAVETA,40,FRUTA FRESCA,3,3,CANECA/GAVETA,40,FRUTA FRESCA,3,15,120,120
4,1,NARANJA,NARANJA,7,20,CANECA/GAVETA,60,FRUTA FRESCA,3,0,,, ,,0,1200,0
4,1,MANGO,MANGO,7,1,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,50,0
4,1,MANDARINA,MANDARINA,5,30,CANECA/GAVETA,55,FRUTA FRESCA,3,0,,, ,,0,1650,0
4,1,CHIRIMOYA,CHIRIMOYA,10,10,CANECA/GAVETA,35,FRUTA FRESCA,3,8,CANECA/GAVETA,35,FRUTA FRESCA,3,350,350,280
5,1,NARANJA,NARANJA,21,20,CANECA/GAVETA,70,FRUTA FRESCA,3,13,CANECA/GAVETA,70,FRUTA FRESCA,3,104,1400,910
6,1,NARANJA,NARANJA,500,500,QUINTAL,100,FRUTA FRESCA,3,0,,, ,,0,50000,0
7,1,NARANJA,NARANJA,20,5,SACO,100,FRUTA FRESCA,3,0,,, ,,0,500,0
8,1,PLATANO,PLATANO,15,4,OTRO/ESPECIFIQUE,15,FRUTA FRESCA,3,0,,, ,,0,60,0
9,3,NARANJA,NARANJA,4,10,CANECA/GAVETA,65,FRUTA FRESCA,3,8,CANECA/GAVETA,65,FRUTA FRESCA,3,80,650,520
10,1,NARANJA,NARANJA,2,4,SACO,90,FRUTA FRESCA,3,0,,, ,,0,360,0
10,1,GUAYABA,GUAYABA,1,1,CANECA/GAVETA,25,FRUTA FRESCA,3,0,,, ,,0,25,0
10,1,LIMON REAL,LIMON,1,2,UNIDAD,0.5,FRUTA FRESCA,3,0,,, ,,0,1,0
10,2,NARANJA,NARANJA,4,5,SACO,90,FRUTA FRESCA,3,0,,, ,,0,450,0
11,1,MANDARINA,MANDARINA,14,15,CANECA/GAVETA,80,FRUTA FRESCA,3,15,CANECA/GAVETA,80,FRUTA FRESCA,3,150,1200,1200
11,1,PLATANO,PLATANO,50,10,OTRO/ESPECIFIQUE,10,FRUTA FRESCA,3,0,,, ,,0,100,0
11,1,LIMON REAL,LIMON,1,3,CANECA/GAVETA,80,FRUTA FRESCA,3,0,,, ,,0,240,0
11,1,TORONJA,TORONJA,2,5,CANECA/GAVETA,80,FRUTA FRESCA,3,0,,, ,,0,400,0
11,1,PAPAYA,PAPAYA,4,20,UNIDAD,2,FRUTA FRESCA,3,0,,, ,,0,40,0
12,2,AGUACATE,AGUACATE,8,5,QUINTAL,100,FRUTA FRESCA,3,0,,, ,,0,500,0
12,2,PLATANO,PLATANO,50,20,OTRO/ESPECIFIQUE,20,FRUTA FRESCA,3,0,,, ,,0,400,0
13,2,AGUACATE,AGUACATE,10,60,SACO,80,FRUTA FRESCA,3,0,,, ,,0,4800,0
13,3,BADEA,BADEA,3,10,UNIDAD,3,FRUTA FRESCA,3,10,UNIDAD,3,FRUTA FRESCA,3,20,30,30
13,3,LIMON REAL,LIMON,7,4,SACO,60,FRUTA FRESCA,3,3,SACO,60,FRUTA FRESCA,3,24,240,180
14,1,NARANJA,NARANJA,8,30,CANECA/GAVETA,50,FRUTA FRESCA,3,22,CANECA/GAVETA,50,FRUTA FRESCA,3,396,1500,1100
14,1,MANDARINA,MANDARINA,4,30,CANECA/GAVETA,50,FRUTA FRESCA,3,25,CANECA/GAVETA,50,FRUTA FRESCA,3,450,1500,1250
14,1,LIMON REAL,LIMON,18,30,CANECA/GAVETA,45,FRUTA FRESCA,3,25,CANECA/GAVETA,50,FRUTA FRESCA,3,450,1350,1250
14,1,GUABA,GUABA,3,300,UNIDAD,0.25,FRUTA FRESCA,3,0,,, ,,0,75,0
15,1,NARANJA,NARANJA,40,40,CANECA/GAVETA,60,FRUTA FRESCA,3,0,,, ,,0,2400,0
15,1,GUABA,GUABA,10,50,UNIDAD,0.25,FRUTA FRESCA,3,0,,, ,,0,12.5,0
15,1,MANDARINA,MANDARINA,15,20,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,1000,0
15,1,LIMON,LIMON,6,8,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,400,0
15,1,MANGO,MANGO,1,1,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,50,0
15,2,GUABA,GUABA,20,30,CANECA/GAVETA,45,FRUTA FRESCA,3,0,,, ,,0,1350,0
15,2,MANDARINA,MANDARINA,35,10,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,500,0
15,2,LIMA,LIMA,5,5,CANECA/GAVETA,60,FRUTA FRESCA,3,0,,, ,,0,300,0
15,2,ZAPOTE,ZAPOTE,3,5,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,250,0
15,2,AGUACATE,AGUACATE,12,5,CANECA/GAVETA,60,FRUTA FRESCA,3,0,,, ,,0,300,0
18,1,PAPAYA,PAPAYA,5,20,UNIDAD,4,FRUTA FRESCA,3,15,UNIDAD,4,FRUTA FRESCA,3,30,80,60
18,1,GUINEO,OTROS BANANOS,3,1,OTRO/ESPECIFIQUE,15,FRUTA FRESCA,3,0,,, ,,0,15,0
19,1,NARANJA,NARANJA,50,10,CANECA/GAVETA,60,FRUTA FRESCA,3,0,,, ,,0,600,0
19,1,MANDARINA,MANDARINA,60,20,CANECA/GAVETA,50,FRUTA FRESCA,3,0,,, ,,0,1000,0
19,1,GUABA,GUABA,20,100,UNIDAD,1,FRUTA FRESCA,3,0,,, ,,0,100,0
20,1,NARANJA,NARANJA,30,10,SACO,100,FRUTA FRESCA,3,0,,, ,,0,1000,0
20,1,PAPAYA,PAPAYA,40,30,UNIDAD,4,FRUTA FRESCA,3,0,,, ,,0,120,0
21,1,NARANJA,NARANJA,10,10,SACO,60,FRUTA FRESCA,3,0,,, ,,0,600,0
22,1,NARANJA,NARANJA,10,8,CANECA/GAVETA,40,FRUTA FRESCA,3,8,CANECA/GAVETA,40,FRUTA FRESCA,3,96,320,320
22,1,MANDARINA,MANDARINA,3,1,CANECA/GAVETA,35,FRUTA FRESCA,3,1,CANECA/GAVETA,35,FRUTA FRESCA,3,30,35,35
25,1,NARANJA,NARANJA,20,3,CANECA/GAVETA,48,FRUTA FRESCA,3,0,,, ,,0,144,0
25,1,LIMON,LIMON,20,2,CANECA/GAVETA,45,FRUTA FRESCA,3,0,,, ,,0,90,0
25,1,MANDARINA,MANDARINA,6,7,CANECA/GAVETA,45,FRUTA FRESCA,3,0,,, ,,0,315,0
