UPA,pc1,pc2,pc3,pc4,pc5,pc6,pc6_a
4,1,ELEFANTE,PASTO ELEFANTE,Asociado,30,11,Hectareas
4,1,SABOYA,SABOYA,Asociado,30,11,Hectareas
6,1,ELEFANTE,PASTO ELEFANTE,Solo,6,0.7056,Hectareas
10,2,BRACHIARIA,BRACHIARIA,Solo,6,0.985,Hectareas
10,2,ELEFANTE,PASTO ELEFANTE,Solo,6,2,Hectareas
13,1,BRACHIARIA,BRACHIARIA,Solo,5,47,Hectareas
13,3,ESTRELLA,ESTRELLA,Solo,20,0.4,Hectareas
15,2,ELEFANTE,PASTO ELEFANTE,Solo,9,2,Hectareas
24,1,ESTRELLA,ESTRELLA,Solo,10,12,Hectareas
24,2,ELEFANTE,PASTO ELEFANTE,Solo,15,12,Hectareas
24,2,BRACHIARIA,BRACHIARIA,Solo,10,30,Hectareas
27,1,ELEFANTE,PASTO ELEFANTE,Solo,25,3.45,Hectareas
28,1,ELEFANTE,PASTO ELEFANTE,Solo,25,1,Hectareas
28,3,ELEFANTE,PASTO ELEFANTE,Solo,25,0.9,Hectareas
28,4,ELEFANTE,PASTO ELEFANTE,Solo,25,7.97475,Hectareas
28,6,ELEFANTE,PASTO ELEFANTE,Solo,25,5,Hectareas
28,1,TANZANIA,TANZANIA,Solo,40,5,Hectareas
28,1,ELEFANTE,PASTO ELEFANTE,Solo,40,4.9,Hectareas
29,1,SABOYA,SABOYA,Asociado,25,6.4991,Hectareas
29,1,ELEFANTE,PASTO ELEFANTE,Asociado,25,6.4991,Hectareas
33,2,ELEFANTE,PASTO ELEFANTE,Solo,8,1,Hectareas
38,1,SABOYA,SABOYA,Solo,10,1,Hectareas
39,1,ELEFANTE,PASTO ELEFANTE,Solo,15,3,Hectareas
42,1,ELEFANTE,PASTO ELEFANTE,Solo,20,2.5,Hectareas
42,2,BRACHIARIA,BRACHIARIA,Solo,7,2,Hectareas
42,3,ELEFANTE,PASTO ELEFANTE,Solo,20,0.0715,Hectareas
42,4,BRACHIARIA,BRACHIARIA,Solo,7,3,Hectareas
42,5,BRACHIARIA,BRACHIARIA,Solo,7,1,Hectareas
43,1,ELEFANTE,PASTO ELEFANTE,Asociado,3,2.5,Hectareas
43,1,SABOYA,SABOYA,Asociado,3,2.5,Hectareas
45,1,ELEFANTE,PASTO ELEFANTE,Asociado,6,2,Hectareas
45,1,SABOYA,SABOYA,Asociado,6,2,Hectareas
46,2,SABOYA,SABOYA,Solo,30,1,Hectareas
47,1,BRACHIARIA,BRACHIARIA,Solo,20,3,Hectareas
47,2,BRACHIARIA,BRACHIARIA,Solo,20,3,Hectareas
47,3,ELEFANTE,PASTO ELEFANTE,Solo,4,3,Hectareas
47,4,ELEFANTE,PASTO ELEFANTE,Asociado,5,6,Hectareas
47,4,BRACHIARIA,BRACHIARIA,Asociado,5,6,Hectareas
48,1,ELEFANTE,PASTO ELEFANTE,Solo,10,0.25,Hectareas
53,1,ELEFANTE,PASTO ELEFANTE,Solo,30,1,Hectareas
54,1,ELEFANTE,PASTO ELEFANTE,Solo,10,5,Hectareas
54,2,ELEFANTE,PASTO ELEFANTE,Solo,15,12,Hectareas
58,1,ELEFANTE,PASTO ELEFANTE,Solo,4,0.025,Hectareas
61,1,ELEFANTE,PASTO ELEFANTE,Solo,25,1,Hectareas
62,1,SABOYA,SABOYA,Solo,12,0.5,Hectareas
63,2,BRACHIARIA,BRACHIARIA,Solo,10,1,Hectareas
63,3,MIEL O SETARIA,MIEL O SETARIA,Solo,10,6,Hectareas
63,4,YARAGUA,YARAGUA,Solo,10,2,Hectareas
63,5,BRACHIARIA,BRACHIARIA,Solo,10,2,Hectareas
63,6,BRACHIARIA,BRACHIARIA,Solo,10,0.6,Hectareas
63,6,BRACHIARIA,BRACHIARIA,Solo,10,26,Hectareas
64,1,BRACHIARIA,BRACHIARIA,Solo,3,14.5,Hectareas
64,1,ELEFANTE,PASTO ELEFANTE,Solo,5,0.5,Hectareas
69,1,ELEFANTE,PASTO ELEFANTE,Solo,50,60,Hectareas
69,2,ELEFANTE,PASTO ELEFANTE,Solo,50,1.1,Hectareas
69,3,ELEFANTE,PASTO ELEFANTE,Solo,45,2,Hectareas
71,1,ELEFANTE,PASTO ELEFANTE,Solo,30,0.25,Hectareas
71,1,TANZANIA,TANZANIA,Asociado,25,0.25,Hectareas
71,1,BRACHIARIA,BRACHIARIA,Asociado,30,0.25,Hectareas
72,1,ELEFANTE,PASTO ELEFANTE,Asociado,40,0.5,Hectareas
72,1,TANZANIA,TANZANIA,Asociado,40,0.5,Hectareas
73,1,TANZANIA,TANZANIA,Solo,23,1.95,Hectareas
73,1,BRACHIARIA,BRACHIARIA,Solo,23,1.95,Hectareas
73,1,SABOYA,SABOYA,Solo,23,1.95,Hectareas
73,2,BRACHIARIA,BRACHIARIA,Asociado,11,4,Hectareas
73,2,TANZANIA,TANZANIA,Asociado,11,4,Hectareas
73,3,MIEL O SETARIA,MIEL O SETARIA,Solo,11,3,Hectareas
74,9,ELEFANTE,PASTO ELEFANTE,Solo,10,15,Hectareas
74,11,ELEFANTE,PASTO ELEFANTE,Solo,10,1.75,Hectareas
74,16,ELEFANTE,PASTO ELEFANTE,Solo,10,7,Hectareas
74,19,ELEFANTE,PASTO ELEFANTE,Solo,10,7.62,Hectareas
74,21,ELEFANTE,PASTO ELEFANTE,Solo,10,20,Hectareas
74,22,ELEFANTE,PASTO ELEFANTE,Solo,3,9.38,Hectareas
76,1,ELEFANTE,PASTO ELEFANTE,Solo,20,2,Hectareas
80,1,BRACHIARIA,BRACHIARIA,Solo,4,4.5,Hectareas
80,1,TANZANIA,TANZANIA,Solo,4,4.5,Hectareas
80,2,BRACHIARIA,BRACHIARIA,Solo,4,2.5,Hectareas
80,2,TANZANIA,TANZANIA,Solo,4,2.5,Hectareas
81,2,ELEFANTE,PASTO ELEFANTE,Asociado,21,20,Hectareas
81,2,ESTRELLA,ESTRELLA,Asociado,21,20,Hectareas
81,2,SABOYA,SABOYA,Asociado,21,20,Hectareas
81,3,SABOYA,SABOYA,Solo,21,20,Hectareas
98,1,ELEFANTE,PASTO ELEFANTE,Solo,13,15.46,Hectareas
98,3,ELEFANTE,PASTO ELEFANTE,Solo,15,7,Hectareas
99,1,ELEFANTE,PASTO ELEFANTE,Solo,5,3,Hectareas
104,1,TANZANIA,TANZANIA,Solo,10,16,Hectareas
104,2,BRACHIARIA,BRACHIARIA,Solo,5,5.85,Hectareas
105,1,ELEFANTE,PASTO ELEFANTE,Solo,10,1,Hectareas
105,2,ELEFANTE,PASTO ELEFANTE,Solo,12,1.3,Hectareas
106,1,ELEFANTE,PASTO ELEFANTE,Asociado,20,9,Hectareas
106,1,BRACHIARIA,BRACHIARIA,Asociado,20,9,Hectareas
106,1,TANZANIA,TANZANIA,Asociado,20,9,Hectareas
106,2,ELEFANTE,PASTO ELEFANTE,Solo,20,2.5,Hectareas
106,3,ELEFANTE,PASTO ELEFANTE,Solo,20,4,Hectareas
106,4,ELEFANTE,PASTO ELEFANTE,Solo,20,3,Hectareas
107,1,MIEL O SETARIA,MIEL O SETARIA,Asociado,6,22.25,Hectareas
107,1,ELEFANTE,PASTO ELEFANTE,Asociado,6,22.25,Hectareas
107,1,BRACHIARIA,BRACHIARIA,Asociado,6,22.25,Hectareas
107,1,TANZANIA,TANZANIA,Asociado,6,22.25,Hectareas
107,2,ELEFANTE,PASTO ELEFANTE,Asociado,6,32,Hectareas
107,2,BRACHIARIA,BRACHIARIA,Asociado,6,32,Hectareas
107,2,TANZANIA,TANZANIA,Asociado,6,32,Hectareas
107,3,ELEFANTE,PASTO ELEFANTE,Asociado,6,9,Hectareas
107,3,TANZANIA,TANZANIA,Asociado,6,9,Hectareas
107,4,ELEFANTE,PASTO ELEFANTE,Asociado,6,13,Hectareas
107,4,BRACHIARIA,BRACHIARIA,Asociado,6,13,Hectareas
108,1,ELEFANTE,PASTO ELEFANTE,Solo,6,1,Hectareas
109,1,BRACHIARIA,BRACHIARIA,Solo,2,3,Hectareas
109,1,TANZANIA,TANZANIA,Solo,2,0.5,Hectareas
109,2,BRACHIARIA,BRACHIARIA,Solo,5,15,Hectareas
109,2,TANZANIA,TANZANIA,Solo,4,1,Hectareas
110,1,BRACHIARIA,BRACHIARIA,Solo,3,6.25,Hectareas
113,1,BRACHIARIA,BRACHIARIA,Solo,7,1,Hectareas
113,2,BRACHIARIA,BRACHIARIA,Solo,7,4.5,Hectareas
113,3,BRACHIARIA,BRACHIARIA,Solo,7,3.5,Hectareas
113,5,BRACHIARIA,BRACHIARIA,Solo,7,4.5,Hectareas
114,4,ELEFANTE,PASTO ELEFANTE,Asociado,4,1,Hectareas
114,4,TANZANIA,TANZANIA,Asociado,4,1,Hectareas
115,1,ELEFANTE,PASTO ELEFANTE,Solo,40,0.2,Hectareas
115,1,SABOYA,SABOYA,Solo,10,0.05,Hectareas
126,1,ELEFANTE,PASTO ELEFANTE,Solo,15,2,Hectareas
127,2,BRACHIARIA,BRACHIARIA,Solo,3,10,Hectareas
127,2,TANZANIA,TANZANIA,Solo,3,12,Hectareas
128,3,SABOYA,SABOYA,Asociado,1,1,Hectareas
128,3,BRACHIARIA,BRACHIARIA,Asociado,1,1,Hectareas
129,2,SABOYA,SABOYA,Solo,20,1,Hectareas
130,1,ELEFANTE,PASTO ELEFANTE,Solo,10,0.5,Hectareas
130,1,SABOYA,SABOYA,Solo,5,0.5,Hectareas
134,1,SABOYA,SABOYA,Solo,7,4.5,Hectareas
136,1,ELEFANTE,PASTO ELEFANTE,Solo,8,0.25,Hectareas
142,1,ELEFANTE,PASTO ELEFANTE,Solo,15,5.45,Hectareas
144,2,ELEFANTE,PASTO ELEFANTE,Asociado,30,1,Hectareas
144,2,SABOYA,SABOYA,Asociado,30,1,Hectareas
146,2,ELEFANTE,PASTO ELEFANTE,Solo,20,1.5,Hectareas
148,1,ELEFANTE,PASTO ELEFANTE,Solo,3,0.16,Hectareas
149,1,BRACHIARIA,BRACHIARIA,Solo,5,17,Hectareas
149,1,TANZANIA,TANZANIA,Solo,5,2,Hectareas
151,1,ELEFANTE,PASTO ELEFANTE,Solo,10,0.3829,Hectareas
153,2,MIEL O SETARIA,MIEL O SETARIA,Solo,5,10,10
156,2,ELEFANTE,PASTO ELEFANTE,Solo,10,2,Hectareas
159,1,ELEFANTE,PASTO ELEFANTE,Asociado,7,3,Hectareas
159,1,TANZANIA,TANZANIA,Asociado,7,3,Hectareas
159,1,MIEL O SETARIA,MIEL O SETARIA,Asociado,7,3,Hectareas
163,1,YARAGUA,YARAGUA,Solo,40,5,Hectareas
163,1,ELEFANTE,PASTO ELEFANTE,Solo,40,12,Hectareas
163,1,PANGOLA,765,Solo,40,2,Hectareas
167,1,ELEFANTE,PASTO ELEFANTE,Solo,10,0.5,Hectareas
169,2,BRACHIARIA,BRACHIARIA,Asociado,6,20,Hectareas
169,2,MIEL O SETARIA,MIEL O SETARIA,Asociado,6,20,Hectareas
170,1,BRACHIARIA,BRACHIARIA,Solo,70,50,Hectareas
170,2,BRACHIARIA,BRACHIARIA,Solo,70,45,Hectareas
170,3,BRACHIARIA,BRACHIARIA,Solo,70,77,Hectareas
170,4,BRACHIARIA,BRACHIARIA,Solo,70,5,Hectareas
171,1,MULATO,MULATO,Asociado,5,7.4672,Hectareas
171,1,BRACHIARIA,BRACHIARIA,Asociado,5,7.4672,Hectareas
171,1,TANZANIA,TANZANIA,Asociado,5,7.4672,Hectareas
171,2,MULATO,MULATO,Asociado,4,11.88,Hectareas
171,2,BRACHIARIA,BRACHIARIA,Asociado,4,11.88,Hectareas
171,2,TANZANIA,TANZANIA,Asociado,4,11.88,Hectareas
171,3,TANZANIA,TANZANIA,Asociado,4,1.5,Hectareas
171,3,BRACHIARIA,BRACHIARIA,Asociado,4,1.5,Hectareas
171,4,TANZANIA,TANZANIA,Asociado,4,1.5,Hectareas
171,4,BRACHIARIA,BRACHIARIA,Asociado,4,1.5,Hectareas
174,2,OREJA DE RATON,OREJA DE RATON/PAJONAL/DULCE/ROJ,Asociado,30,200,Hectareas
174,2,PAJONAL,OREJA DE RATON/PAJONAL/DULCE/ROJ,Asociado,30,200,Hectareas
174,2,SABANA,OREJA DE RATON/PAJONAL/DULCE/ROJ,Asociado,30,200,Hectareas
175,2,SABOYA,SABOYA,Asociado,10,50,Hectareas
175,2,TANZANIA,TANZANIA,Asociado,10,50,Hectareas
175,2,MIEL O SETARIA,MIEL O SETARIA,Asociado,10,50,Hectareas
175,2,ELEFANTE,PASTO ELEFANTE,Asociado,10,50,Hectareas
175,2,BRACHIARIA,BRACHIARIA,Asociado,10,50,Hectareas
175,3,ELEFANTE,PASTO ELEFANTE,Asociado,15,10,Hectareas
175,3,TANZANIA,TANZANIA,Asociado,15,10,Hectareas
176,1,BRACHIARIA,BRACHIARIA,Asociado,8,20,Hectareas
