UPA,af1,af2,af3,af4,af5,af5_a,af6,af7,af7_a,af8
12,Si,CEDRO,Cedro/Cedrela,Madera,200,METROS,800,0, ,0
13,Si,GUABO,Guabo,Lena/carbon,0, ,,3,METROS,12
13,Si,CEDRO,Cedro/Cedrela,Madera,0, ,,3,METROS,12
21,Si,GUABO,Guabo,Madera,0, ,,30,TABLAS,90
30,Si,CEDRO,Cedro/Cedrela,Madera,300,METROS,1200,, ,
33,Si,CEDRO,Cedro/Cedrela,Madera,400,METROS,800,0,METROS,0
34,Si,CEDRO,Cedro/Cedrela,Madera,0, ,0,3,ARBOLES,300
39,Si,CEDRO,Cedro/Cedrela,Madera,24,METROS,400,, ,
40,Si,CEDRO,Cedro/Cedrela,Madera,0, ,0,500,METROS,2000
46,Si,CEDRO,Cedro/Cedrela,Madera,400,METROS,1600,, ,0
53,Si,CEDRO,Cedro/Cedrela,Madera,50,METROS,200,, ,
55,Si,AGUACATE,Aguacate,Madera,800,TABLAS,3200,, ,
55,Si,CEDRELA,Cedro/Cedrela,Madera,400,METROS,2000,, ,
78,Si,CEDRO,Cedro/Cedrela,Madera,80,METROS,500,, ,
79,Si,CEDRO,Cedro/Cedrela,Madera,3,METROS CUBICOS,300,, ,
63,Si,CEDRO,Cedro/Cedrela,Madera,0, ,,5,METROS CUBICOS,500
69,Si,CEDRO,Cedro/Cedrela,Madera,15,METROS,,15,METROS CUBICOS,1500
71,Si,CEDRO,Cedro/Cedrela,Madera,150,METROS,750,150,METROS,750
71,Si,AGUACATE,Aguacate,Madera,200,METROS,1000,, ,
75,Si,CEDRO,Cedro/Cedrela,Madera,1,METROS CUBICOS,100,, ,
80,Si,CEDRO,Cedro/Cedrela,Madera,1000,METROS,8400,, ,
85,Si,CEDRO,Cedro/Cedrela,Madera,10,ARBOLES,4000,, ,
98,Si,CEDRO,Cedro/Cedrela,Madera,2,METROS CUBICOS,400,, ,
98,Si,POMAROSA,Pomarosa,Estacas/cercas,0, ,,100,METROS,198
106,Si,AGUACATE,Aguacate,Madera,0, ,,30,TABLAS,240
114,Si,GUAYABO,Guayabo/Guayabillo,Estacas/cercas,0, ,,100,METROS,200
115,Si,AGUACATE,Aguacate,Madera,30,METROS,200,, ,
148,Si,AGUACATE,Aguacate,Madera,0, ,,10,ARBOLES,1000
148,Si,GUABO,Guabo,Madera,0, ,,15,ARBOLES,1500
152,Si,CEDRO,Cedro/Cedrela,Madera,0, ,,40,TABLAS,240
170,Si,CEDRO,Cedro/Cedrela,Madera,40,METROS CUBICOS,2800,10,METROS CUBICOS,700
182,Si,CEDRO,Cedro/Cedrela,Madera,0, ,,88,METROS,528
207,Si,AGUACATE,Aguacate,Madera,0, ,0,50,METROS,300
217,Si,CEDRO,Cedro/Cedrela,Madera,0, ,,160,METROS,960
234,Si,AGUACATE,Aguacate,Madera,1000,TABLAS,3000,, ,
246,Si,CEDRO,Cedro/Cedrela,Madera,0, ,,3,ARBOLES,500
253,Si,AGUACATE,Aguacate,Madera,1500,METROS,1250,, ,
259,Si,CEDRO,Cedro/Cedrela,Madera,24,METROS,600,, ,
264,Si,CEDRELA,Cedro/Cedrela,Madera,0, ,,10,ARBOLES,500
277,Si,LAUREL,Laurel,Estacas/cercas,0, ,,5,ARBOLES,500
279,Si,CEDRELA,Cedro/Cedrela,Madera,750,TABLAS,2250,, ,
292,Si,CEDRELA,Cedro/Cedrela,Madera,100,ARBOLES,1000,, ,
298,Si,CEDRELA,Cedro/Cedrela,Madera,1800,METROS,5400,, ,
301,Si,CAOBA,Caoba,Madera,2,ARBOLES,3000,, ,
301,Si,CEDRELA,Cedro/Cedrela,Madera,30,ARBOLES,4500,, ,
301,Si,CEDRELA,Cedro/Cedrela,Madera,2,ARBOLES,300,, ,
305,Si,CEDRELA,Cedro/Cedrela,Madera,10,ARBOLES,1000,, ,
315,Si,LAUREL,Laurel,Madera,20,ARBOLES,200,, ,
