UPA,v1,v2,v3,v4,v5,v6,v7,v8,v9_1_a,v9_1_b,v9_1_c,v9_1_d,v9_1_e,v9_1_f,v9_1_g,v9_2_a,v9_2_b,v9_2_c,v9_2_d,v9_2_e,v9_2_f,v9_2_g,v9_3_a,v9_3_b,v9_3_c,v9_3_d,v9_3_e,v9_3_f,v9_3_g,v9_4_a,v9_4_b,v9_4_c,v9_4_d,v9_4_e,v9_4_f,v9_4_g,v9_5_a,v9_5_b,v9_5_c,v9_5_d,v9_5_e,v9_5_f,v9_5_g,v9_6_a,v9_6_b,v9_6_c,v9_6_d,v9_6_e,v9_6_f,v9_6_g,v9_7_a,v9_7_b,v9_7_c,v9_7_d,v9_7_e,v9_7_f,v9_7_g,v9_8_a,v9_8_b,v9_8_c,v9_8_d,v9_8_e,v9_8_f,v9_8_g,v9_9_a,v9_9_b,v9_9_c,v9_9_d,v9_9_e,v9_9_f,v9_9_g,v9_10_a,v9_10_b,v9_10_c,v9_10_d,v9_10_e,v9_10_f,v9_10_g,v9_11_a,v9_11_b,v9_11_c,v9_11_d,v9_11_e,v9_11_f,v9_11_g,v9_12_a,v9_12_b,v9_12_c,v9_12_d,v9_12_e,v9_12_f,v9_12_g,v9_13_a,v9_13_b,v9_13_c,v9_13_d,v9_13_e,v9_13_f,v9_13_g,v9_14_a,v9_14_b,v9_14_c,v9_14_d,v9_14_e,v9_14_f,v9_14_g,v15,v16,v17,v18,v19,v20,v21,v22,v23,v23_a,v23_b,v23_c,v24,v25,v26,v27,v27_a,v27_repetida,v28,v29,v30_a,v30_b,v30_c,v30_d,v30_e,v31,v32,v33,v34_a,v34_b,v34_c,v34_d,v35,v35_a,v35_b,v36_a,v36_b,v36_c,v37_a,v37_b,v37_c,v38_a,v38_b,v38_c,v39_a,v39_b,v39_c,v40_a,v40_b,v40_c,v41_a,v41_b,v41_c,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53_a,v53_b,v54,v55,ProdCarne,ProdLeche,Total_machos,Total_hembras
1,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
2,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
3,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
4,Si,Doble proposito,10,10,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,3,3,5,5,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,Si,Si,Si,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,4,6
5,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
6,Si,Carne,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Sogueo,Dentro de la UPA,100,0,0,0,0,No,No aplica,No,No,No,No,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,0,1
7,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
8,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
9,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
10,Si,Doble proposito,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,"Fuera de la UPA, pero no en àrea del PNG",100,0,0,0,0,No,No aplica,No,No,No,No,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,0,3
