"variable","elastic","forward"
"(Intercept)",1.07380960363489,1.02417394137909
"`cantonSan Cristobal`",NA,0.0911611119172626
"CPermanentes MANGO",NA,0.71528944084284
"CTransitorios APIO",NA,-0.590419813721038
"CTransitorios CILANTRO",NA,-0.464296962869468
"CTransitorios PAPA",NA,1.29329727548568
"`\`Pastos KING GRASS\``",NA,-0.54040827394465
"pc4None",NA,0.281552655231438
"`\`Arboles PI<ca>A\``",NA,-2.26500296760684
"e30",NA,-0.586186840012551
"to57 e",NA,0.00067973915289612
"`\`INTERNETSIN INFORMACION\``",NA,-2.31665443190363
