variable,percperm,perctemp,perctill,percpasture,percbrush
Intercept,0.070090204,-1.031000797,-0.98792836,1.458409053,0.490429899
s4,-0.000636945,NA,NA,NA,0.005048533
CPermanentesAGUACATE,0.027230239,NA,NA,NA,NA
CPermanentesCAFE,0.986526795,NA,NA,NA,NA
CPermanentesGUABA,0.253067262,NA,NA,NA,NA
CPermanentesMANDARINA,0.010674855,NA,NA,NA,NA
CPermanentesNARANJA,0.837107131,NA,NA,NA,NA
CPermanentesOTROS BANANOS,0.10659118,-0.14077382,NA,NA,NA
p9,0.000703752,NA,NA,NA,NA
VentaLibras,1.08E-05,NA,NA,NA,NA
CTransitoriosAPIO,-0.12734532,NA,NA,NA,NA
CTransitoriosBROCOLI,-0.39119698,NA,NA,NA,NA
CTransitoriosFREJOL TIERNO,-0.235484299,NA,NA,NA,NA
CTransitoriosMAIZ DURO CHOCLO,-0.038881878,0.980026186,NA,NA,NA
CTransitoriosTOMATE RINON,-0.013777272,NA,NA,NA,NA
CTransitoriosVAINITA,-0.036549456,NA,NA,NA,NA
pc4None,0.277963564,NA,NA,-3.643967908,-0.130495099
ArbolesMANDARINA,0.089633538,NA,NA,NA,NA
ga15cualADECUACION UPA,0.102744577,NA,NA,NA,NA
to57e,0.000936979,NA,NA,NA,NA
biokSi,0.23639287,NA,NA,NA,-0.116300092
ENERGIAELNO TIENE,-0.060978209,NA,NA,NA,0.027553209
INTERNETINTERNET PRIVADO,-0.340486875,NA,NA,NA,NA
ALCANTARILALCANTARILLADO PUBLICO,0.175981064,NA,NA,NA,NA
ALCANTARILSIN INFORMACION,-0.324420098,NA,NA,NA,NA
RELIEVEONDULADO,-0.050457361,NA,NA,NA,NA
CTransitoriosCOL,NA,0.114151288,NA,NA,NA
CTransitoriosHIERVITA,NA,0.042202703,NA,NA,NA
CTransitoriosMELON,NA,0.625084289,NA,NA,NA
CTransitoriosNABO,NA,1.767761146,NA,NA,NA
CTransitoriosPIMIENTO,NA,0.211531545,NA,NA,NA
librasvendida,NA,1.48E-05,NA,NA,NA
ga15cualPERSONAL PARA SEMBRAR,NA,2.348918706,NA,NA,NA
e30f,NA,0.914560263,NA,NA,NA
o4f,NA,NA,0.001243252,NA,NA
ga15cualGASTOS HERRAMIENTAS,NA,NA,1.554277983,NA,NA
ga15cualHERRAMIENTA DE TRANAJO,NA,NA,1.411983217,NA,NA
ga15cualPARA PREVERCION MEDICINA,NA,NA,1.68783972,NA,NA
GastosPecuarios,NA,NA,1.25E-06,NA,NA
cantonSan Cristobal,NA,NA,NA,-0.068196851,NA
CTransitoriosCILANTRO,NA,NA,NA,0.015561534,NA
PastosBRACHIARIA,NA,NA,NA,0.153740664,NA
PastosKING GRASS,NA,NA,NA,0.163930414,NA
pc6,NA,NA,NA,0.003320173,NA
ArbolesPAPAYA,NA,NA,NA,-0.286257933,NA
v3,NA,NA,NA,0.007648503,NA
v30a,NA,NA,NA,0.01296826,NA
v45,NA,NA,NA,0.000293452,NA
o4b,NA,NA,NA,0.000201862,NA
e29f,NA,NA,NA,0.000561517,NA
d3Si,NA,NA,NA,0.125070179,NA
ENERGIAELENERGIA SOLAR PRIVADA,NA,NA,NA,0.025772184,NA
cantonSanta Cruz,NA,NA,NA,NA,-0.476401218
c10Si,NA,NA,NA,NA,-0.020936119
c14,NA,NA,NA,NA,0.00514202
r3,NA,NA,NA,NA,0.073094558
CPermanentesNARANJILLA,NA,NA,NA,NA,0.227064164
CPermanentesPINA,NA,NA,NA,NA,0.102056002
t28,NA,NA,NA,NA,1.49E-05
ArbolesAGUACATE,NA,NA,NA,NA,0.3216416
ArbolesGUAYABA,NA,NA,NA,NA,0.716697724
ArbolesNARANJA,NA,NA,NA,NA,0.035799119
ArbolesNARANJA AGRIA,NA,NA,NA,NA,-0.332794321
oe,NA,NA,NA,NA,0.000366968
ForestalAGUACATE,NA,NA,NA,NA,0.039561897
ForestalCEDRELA,NA,NA,NA,NA,0.431564199
ga15cualHERRAMIENTAS DE TRABAJO,NA,NA,NA,NA,0.517404884
ga15cualLIMPIEZA DE LA FINCA,NA,NA,NA,NA,0.220973673
ga15cualTRABAJADORES,NA,NA,NA,NA,0.418279484
GastosAgricolas,NA,NA,NA,NA,-2.95E-05
AGUAAGUA ENTUBADA PUBLICA,NA,NA,NA,NA,-0.065551938
AGUANO TIENE,NA,NA,NA,NA,0.091300213
ALCANTARILPOZO SEPTICO O CIEGO PRIVADO,NA,NA,NA,NA,0.233500444
VIASDEACASFALTADA,NA,NA,NA,NA,0.118210655
VIASDEACSENDERO,NA,NA,NA,NA,0.215123035
