variable,elastic,forward
Intercept,-2042.71011,-1963.536504
CTransitoriosFREJOL TIERNO,-420.7316318,-2665.119458
PastosBRACHIARIA,-219.1998179,NA
ad4,0.156758864,1.69632012
produccionenlibrasproductocosechadoautoconsumo,0.049551567,0.097989321
v3,-24.10107315,-63.53393974
v45,-51.68006386,-131.2483353
percperm2,4.593316404,19.94051874
CATTLETRUE,-226.1044824,NA
AGUAAGUA POTABLE PRIVADA,-5209.352406,-21382.10364
v44,NA,5.024938037
ALCANTARILPOZO SEPTICO O CIEGO PUBLICO,NA,-3896.765456
