"variable","elastic","forward"
"(Intercept)",3.13340805771094,3.33488422210617
"`CPermanentes OTROS BANANOS`",0.186570652647947,0.276504315050986
"CPermanentes PLATANO",0.13656759670054,0.25748181960367
"`CTransitorios TOMATE RINON`",0.116680990040273,0.205735821511637
"CTransitorios YUCA",0.0119237726122157,NA
"num cultivo",5.93624045008811e-06,8.76992912200277e-06
"Pastos BRACHIARIA",-0.159463687709902,-0.26263346023399
"Pastos ELEFANTE",-0.0915761582009596,-0.208054552917647
"`Pastos KING GRASS`",-0.0647669157788816,NA
"pc4None",0.0506514930594422,NA
"pc6",-0.00170620606172046,-0.00200874946159299
"Arboles GUABA",0.0803919265626877,0.141453226758876
"Arboles GUANABANA",0.000109905378222455,NA
"Arboles GUINEO",0.090427562769828,0.333240993427987
"`Arboles LIMON MANDARINA`",0.0630638827416162,0.204233773873651
"Arboles NARANJA",0.0281168038342562,NA
"Arboles PLATANO",0.0175618184294849,NA
"ad11",1.8441178650582e-05,NA
"produccion en libras producto vendido",7.73956765914653e-06,2.00279380794479e-05
"v3",-9.63469626805808e-05,NA
"v30 a",-0.00132788208189909,NA
"c12",3.01306441598537e-06,1.18552371469536e-05
"a7 a",2.75314053710809e-06,NA
"ga9Si",0.0234965093786039,NA
"ga9 a",7.47114962973537e-06,0.000116420396816861
"ga15 cualADECUACION UPA",-0.291462306072886,-1.52401391381229
"ga15 cualMANTENIMIENTO DE CAF<db>",-0.276909651157261,-1.93862659583527
"ga15 cualPACHETE",0.644443246913201,1.8037125446772
"e30",0.0176086903846498,NA
"percperm",0.0017961686822152,NA
"perctemp",0.00431003861040738,NA
"perctill",-0.000891577497888275,-0.00806565476307751
"percpasture",-0.00708912483106138,-0.0109172359883047
"percinv",-0.00267383136457003,-0.010492198859849
"percbrush",-0.00522488702309438,-0.00962106796857203
"percinv2",-0.00229435434663105,NA
"d3Si",-0.0260827528608104,NA
"ReclassCONSERVACION",-0.154986729555513,-0.337548163758938
"ReclassPECUARIO",-0.0675376721445154,-0.113677236562212
"ABANDONEDTRUE",-0.0649132855297496,NA
"CONSERVATIONTRUE",-0.0503308352300587,NA
"FORESTRYTRUE",-0.0848745355386518,-0.145451397978955
"LODGINGTRUE",-0.0134603931976099,-0.129751656677606
"`ENERGIA ELENERGIA SOLAR PRIVADA`",-0.654851460619688,-1.40081256374937
"VIAS DE ACASFALTADA",-0.0636713997574506,-0.133474536679255
"RELIEVEABRUPTO",-0.06376161580734,NA
"RELIEVEPLANO",NA,0.141274132289157
