"variable","elastic","forward"
"(Intercept)",-0.800107832600657,-1.37711447528624
"s4",0.00200482958985127,NA
"CosechaLibras",1.32900941060241e-07,NA
"v3",0.00638823917578053,0.0262664835387497
"v45",0.00823380390050226,NA
"GastosPecuarios",8.01968077223615e-08,5.64153800532251e-05
"CATTLETRUE",0.0206302218719143,NA
"VentaLibras",NA,2.15022917703833e-05
"libras vendida",NA,7.52652322422717e-05
"perctemp2",NA,-0.0270362624853832
"CTransitorios RABANO",NA,1.20628170202665
"VIAS DE ACASFALTADA",NA,0.486514407295912
