"variable","elastic","forward"
"(Intercept)",0.702874469534056,0.57748944090809
"s4",0.00119647513950991,0.00288201301499457
"v3",0.000620237558376974,NA
"v44",1.85874777388808e-05,NA
"GastosAgricolas",3.48567799823178e-06,3.95688867482777e-05
"bio kSi",0.0355014942958924,0.363408821341098
"CTransitorios CILANTRO",NA,0.280851156749993
"`\`Arboles LIMON MANDARINA\``",NA,0.24973065939883
"a24 f",NA,5.33299274863756e-05
"`ga15 cualLIMPIEZA DE TERRENO`",NA,0.531511622906618
"FARMINGTRUE",NA,-0.127171881602859
